artist_id,artist_name,track_id,track_name,track_duration,track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date
0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,1u6EFa4RLVRYH23FUsKe6B,Call to the Wild,156843,57,0.786,0.83,-7.23,0.128,0.0939,0.0,0.118,0.933,131.0,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14
0jcl46xRBm9LKIwrKGQPE6,Milo Manheim,1bFY36a62kXGJqNcN5aJkW,BAMM,186100,55,0.757,0.871,-4.689,0.0362,0.000753,0.00649,0.454,0.394,124.05,5OZ8rT5NZcYNxkf8jnIAL0,ZOMBIES (Original TV Movie Soundtrack),2018-02-16
0jcl46xRBm9LKIwrKGQPE6,Milo Manheim,5MF6bAKq8VbYQuNw7vuvb7,Ain't No Doubt About It,170458,54,0.786,0.671,-5.419,0.074,0.224,0.0,0.134,0.84,112.062,4utT7N3IehsJfbtUhNDaeF,ZOMBIES 3 (Original Soundtrack),2022-07-15
0jcl46xRBm9LKIwrKGQPE6,Milo Manheim,0Zbh5g5hEWyaofKWRIKRPM,Gotta Find Where I Belong,164277,54,0.562,0.521,-8.154,0.1,0.687,9.49e-06,0.13,0.64,166.03,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14
0jcl46xRBm9LKIwrKGQPE6,Milo Manheim,3IdzLdMPPep5FNregml0LU,One for All,172114,53,0.759,0.836,-6.707,0.0365,0.00563,0.0,0.0646,0.851,110.063,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14
0jcl46xRBm9LKIwrKGQPE6,Milo Manheim,0ZJLMe0E1GZtc45HVD7uog,Someday - Ballad,212793,53,0.658,0.512,-5.818,0.0327,0.8,0.0,0.133,0.397,91.979,5OZ8rT5NZcYNxkf8jnIAL0,ZOMBIES (Original TV Movie Soundtrack),2018-02-16
0jcl46xRBm9LKIwrKGQPE6,Milo Manheim,62DGiYjz0FU8dztf3ylFyI,We Got This,192280,51,0.776,0.83,-6.871,0.0469,0.00517,0.0,0.14,0.506,114.022,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14
0jcl46xRBm9LKIwrKGQPE6,Milo Manheim,1j4JQOiaOGbqx9j5VjgI92,Someday (Reprise),73190,51,0.679,0.44,-7.56,0.0282,0.89,0.0,0.119,0.379,91.914,3sZV33Gfqx8tZmAwRBtpCs,ZOMBIES 2 (Original TV Movie Soundtrack),2020-02-14
0ZED1XzwlLHW4ZaG4lOT6m,JP Saxe,77MdvMx9L4ZQuLhhn3o21h,If the World Was Ending (feat. Julia Michaels),209493,73,0.429,0.486,-9.971,0.101,0.866,0.0,0.0982,0.661,146.99,538BxdI7oOQykSkEtyjhUD,Dangerous Levels of Introspection,2021-06-25
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),173306,76,0.516,0.467,-6.184,0.0302,0.662,0.0,0.0853,0.386,132.861,1xJ7jIK1tT0aVoJw1fPE6r,Inner Monologue Part 1,2019-01-24
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,7vu0JkJh0ldukEYbTVcqd0,Issues,176320,75,0.728,0.415,-6.852,0.0639,0.401,0.0,0.0616,0.455,114.145,1qyjZGIeeLJlXbYWuoloWj,Nervous System,2017-07-28
0ZED1XzwlLHW4ZaG4lOT6m,Noah Kahan,2Zg0aB5oVQlbQE1vzQmIIY,Hurt Somebody,167106,72,0.638,0.51,-6.485,0.305,0.344,0.0,0.212,0.448,114.576,3DNQrMjvVGiueVrj1qquJd,Busyhead,2019-06-14
